    2  0.000E+00  0.95613E-01  0.382E-03 -0.94301E+00 -0.00000E+00  0.574E-01
    3  0.484E-01  0.95364E-01  0.343E-02 -0.94210E+00 -0.00000E+00  0.574E-01
    4  0.969E-01  0.94867E-01  0.950E-02 -0.94027E+00 -0.00000E+00  0.574E-01
    5  0.145E+00  0.94126E-01  0.185E-01 -0.93753E+00 -0.00000E+00  0.574E-01
    6  0.194E+00  0.93147E-01  0.305E-01 -0.93391E+00 -0.00000E+00  0.574E-01
    7  0.242E+00  0.91937E-01  0.452E-01 -0.92941E+00 -0.00000E+00  0.574E-01
    8  0.291E+00  0.90504E-01  0.626E-01 -0.92406E+00 -0.00000E+00  0.574E-01
    9  0.339E+00  0.88858E-01  0.826E-01 -0.91788E+00 -0.00000E+00  0.574E-01
   10  0.387E+00  0.87013E-01  0.105E+00 -0.91090E+00 -0.00000E+00  0.574E-01
   11  0.436E+00  0.84980E-01  0.129E+00 -0.90315E+00 -0.00000E+00  0.574E-01
   12  0.484E+00  0.82773E-01  0.156E+00 -0.89467E+00 -0.00000E+00  0.574E-01
   13  0.533E+00  0.80408E-01  0.184E+00 -0.88550E+00 -0.00000E+00  0.574E-01
   14  0.581E+00  0.77900E-01  0.214E+00 -0.87567E+00 -0.00000E+00  0.574E-01
   15  0.630E+00  0.75265E-01  0.245E+00 -0.86523E+00 -0.00000E+00  0.574E-01
   16  0.678E+00  0.72521E-01  0.278E+00 -0.85422E+00 -0.00000E+00  0.574E-01
   17  0.726E+00  0.69684E-01  0.311E+00 -0.84269E+00 -0.00000E+00  0.574E-01
   18  0.775E+00  0.66771E-01  0.345E+00 -0.83068E+00 -0.00000E+00  0.574E-01
   19  0.823E+00  0.63799E-01  0.379E+00 -0.81825E+00 -0.00000E+00  0.575E-01
   20  0.872E+00  0.60785E-01  0.414E+00 -0.80544E+00 -0.00000E+00  0.575E-01
   21  0.920E+00  0.57745E-01  0.449E+00 -0.79230E+00 -0.00000E+00  0.576E-01
   22  0.969E+00  0.54695E-01  0.483E+00 -0.77887E+00 -0.00000E+00  0.577E-01
   23  0.102E+01  0.51650E-01  0.517E+00 -0.76521E+00 -0.00000E+00  0.579E-01
   24  0.107E+01  0.48625E-01  0.550E+00 -0.75136E+00 -0.00000E+00  0.584E-01
   25  0.111E+01  0.45634E-01  0.583E+00 -0.73737E+00 -0.00000E+00  0.594E-01
   26  0.116E+01  0.42691E-01  0.614E+00 -0.72329E+00 -0.00000E+00  0.610E-01
   27  0.121E+01  0.39807E-01  0.645E+00 -0.70915E+00 -0.00000E+00  0.640E-01
   28  0.126E+01  0.36998E-01  0.674E+00 -0.69500E+00 -0.00000E+00  0.689E-01
   29  0.131E+01  0.34276E-01  0.702E+00 -0.68088E+00 -0.00000E+00  0.767E-01
   30  0.136E+01  0.31658E-01  0.729E+00 -0.66682E+00 -0.00000E+00  0.879E-01
   31  0.140E+01  0.29161E-01  0.754E+00 -0.65286E+00 -0.00000E+00  0.102E+00
   32  0.145E+01  0.26801E-01  0.778E+00 -0.63904E+00 -0.00000E+00  0.119E+00
   33  0.150E+01  0.24589E-01  0.800E+00 -0.62537E+00 -0.00000E+00  0.135E+00
   34  0.155E+01  0.22529E-01  0.821E+00 -0.61188E+00 -0.00000E+00  0.148E+00
   35  0.160E+01  0.20612E-01  0.840E+00 -0.59861E+00 -0.00000E+00  0.157E+00
   36  0.165E+01  0.18824E-01  0.858E+00 -0.58555E+00 -0.00000E+00  0.162E+00
